Alpha = 0.5, total evaluations = 31603419
Alpha = 1.0, total evaluations = 1897316
Alpha = 1.5, total evaluations = 338072
Alpha = 20,  total evaluations = 25654043

[1 - 10, дихотомия]
Alpha = 2.8299999999999823, total evaluations = 95839, total time = 276
Alpha = 2.839999999999982, total evaluations = 95839, total time = 297
Alpha = 2.849999999999982, total evaluations = 95839, total time = 280
Alpha = 2.8599999999999817, total evaluations = 95839, total time = 292
Alpha = 2.8699999999999815, total evaluations = 95839, total time = 296
Alpha = 2.8799999999999812, total evaluations = 95839, total time = 297
Alpha = 2.889999999999981, total evaluations = 95839, total time = 287
Alpha = 2.899999999999981, total evaluations = 95839, total time = 306
Alpha = 2.9099999999999806, total evaluations = 95839, total time = 280
Alpha = 2.9199999999999804, total evaluations = 95839, total time = 289
Alpha = 2.92999999999998, total evaluations = 95839, total time = 278
Alpha = 2.93999999999998, total evaluations = 95839, total time = 279
Alpha = 2.9499999999999797, total evaluations = 95839, total time = 277
Alpha = 2.9599999999999795, total evaluations = 95839, total time = 309
Alpha = 2.9699999999999793, total evaluations = 95839, total time = 285
Alpha = 2.979999999999979, total evaluations = 95839, total time = 275
Alpha = 2.989999999999979, total evaluations = 95839, total time = 293
Alpha = 2.9999999999999787, total evaluations = 95839, total time = 301
Alpha = 3.0099999999999785, total evaluations = 117581, total time = 368
Alpha = 3.0199999999999783, total evaluations = 117581, total time = 347
Alpha = 3.029999999999978, total evaluations = 117581, total time = 358
Alpha = 3.039999999999978, total evaluations = 117581, total time = 368
Alpha = 3.0499999999999776, total evaluations = 117581, total time = 356
Alpha = 3.0599999999999774, total evaluations = 117581, total time = 367
Alpha = 3.069999999999977, total evaluations = 117581, total time = 359
Alpha = 3.079999999999977, total evaluations = 117581, total time = 365
Alpha = 3.0899999999999768, total evaluations = 117581, total time = 350
Alpha = 3.0999999999999766, total evaluations = 117581, total time = 358
Alpha = 3.1099999999999763, total evaluations = 117581, total time = 361
Alpha = 3.119999999999976, total evaluations = 117581, total time = 357
Alpha = 3.129999999999976, total evaluations = 117581, total time = 355
Alpha = 3.1399999999999757, total evaluations = 117581, total time = 382
Alpha = 3.1499999999999755, total evaluations = 117581, total time = 347
Alpha = 3.1599999999999753, total evaluations = 117581, total time = 355
